0;0;99.59666
0;1;99.67498
0;2;99.51749
0;3;99.53498
0;4;99.55999
0;5;98.10994
0;6;95.30993
0;7;90.58476
0;8;83.64589
0;9;74.00348
0;10;62.32175
0;11;50.00625
0;12;37.38708
0;13;25.84933
0;14;16.15694
0;15;9.11156
0;16;4.53409
0;17;1.80204
0;18;0.50668
0;19;0.49002
0;20;0.44002
0;21;0.45668
0;22;0.40401
0;23;0.37401
0;24;0.31501
0;25;0.27001
0;26;0.18250
0;27;0.09250
0;28;0.08500
0;29;0.04000
0;30;0.01000
0;31;0.00000
0;32;0.00000
0;33;0.00000
0;34;0.00000
0;35;0.00000
0;36;0.00000
0;37;0.00000
0;38;0.00000
0;39;0.00000
0;40;0.00000
0;41;0.00000
0;42;0.00000
0;43;0.00000
0;44;0.00000
0;45;0.00000
0;46;0.00000
0;47;0.00000
0;48;0.00000
0;49;0.00000
0;50;0.00000
0;51;0.00000
0;52;0.00000
0;53;0.00000
0;54;0.00000
0;55;0.00000
0;56;0.00000
0;57;0.00000
0;58;0.00000
0;59;0.00000
1;0;99.62999
1;1;99.56998
1;2;99.58999
1;3;99.51999
1;4;99.51998
1;5;99.55999
1;6;98.16996
1;7;95.24476
1;8;90.67318
1;9;83.55648
1;10;74.16674
1;11;62.46181
1;12;50.01711
1;13;37.51768
1;14;25.83376
1;15;16.09860
1;16;9.16585
1;17;4.61409
1;18;1.85336
1;19;0.45001
1;20;0.44667
1;21;0.47201
1;22;0.41801
1;23;0.44502
1;24;0.45002
1;25;0.36668
1;26;0.27715
1;27;0.18001
1;28;0.15501
1;29;0.06750
1;30;0.04000
1;31;0.01500
1;32;0.00000
1;33;0.00000
1;34;0.00000
1;35;0.00000
1;36;0.00000
1;37;0.00000
1;38;0.00000
1;39;0.00000
1;40;0.00000
1;41;0.00000
1;42;0.00000
1;43;0.00000
1;44;0.00000
1;45;0.00000
1;46;0.00000
1;47;0.00000
1;48;0.00000
1;49;0.00000
1;50;0.00000
1;51;0.00000
1;52;0.00000
1;53;0.00000
1;54;0.00000
1;55;0.00000
1;56;0.00000
1;57;0.00000
1;58;0.00000
1;59;0.00000
2;0;99.70142
2;1;99.60498
2;2;99.57799
2;3;99.53998
2;4;99.48124
2;5;99.57749
2;6;99.52199
2;7;98.11994
2;8;95.27422
2;9;90.74318
2;10;83.60709
2;11;74.18624
2;12;62.03124
2;13;49.96591
2;14;37.47489
2;15;26.23362
2;16;16.24680
2;17;9.27773
2;18;4.67262
2;19;1.84780
2;20;0.42502
2;21;0.47572
2;22;0.42502
2;23;0.51751
2;24;0.39001
2;25;0.45335
2;26;0.34401
2;27;0.26751
2;28;0.20334
2;29;0.08000
2;30;0.08000
2;31;0.05000
2;32;0.01667
2;33;0.00000
2;34;0.00000
2;35;0.00000
2;36;0.00000
2;37;0.00000
2;38;0.00000
2;39;0.00000
2;40;0.00000
2;41;0.00000
2;42;0.00000
2;43;0.00000
2;44;0.00000
2;45;0.00000
2;46;0.00000
2;47;0.00000
2;48;0.00000
2;49;0.00000
2;50;0.00000
2;51;0.00000
2;52;0.00000
2;53;0.00000
2;54;0.00000
2;55;0.00000
2;56;0.00000
2;57;0.00000
2;58;0.00000
2;59;0.00000
3;0;99.75833
3;1;99.62332
3;2;99.62999
3;3;99.58799
3;4;99.52749
3;5;99.52571
3;6;99.55332
3;7;99.53499
3;8;98.19998
3;9;95.39238
3;10;90.87151
3;11;83.94560
3;12;74.14124
3;13;62.48191
3;14;50.17731
3;15;37.30791
3;16;25.99296
3;17;16.07770
3;18;9.33742
3;19;4.63809
3;20;1.74336
3;21;0.49335
3;22;0.45251
3;23;0.48501
3;24;0.41801
3;25;0.43001
3;26;0.38002
3;27;0.37251
3;28;0.29001
3;29;0.21600
3;30;0.11501
3;31;0.07250
3;32;0.04500
3;33;0.00000
3;34;0.00000
3;35;0.00000
3;36;0.00000
3;37;0.00000
3;38;0.00000
3;39;0.00000
3;40;0.00000
3;41;0.00000
3;42;0.00000
3;43;0.00000
3;44;0.00000
3;45;0.00000
3;46;0.00000
3;47;0.00000
3;48;0.00000
3;49;0.00000
3;50;0.00000
3;51;0.00000
3;52;0.00000
3;53;0.00000
3;54;0.00000
3;55;0.00000
3;56;0.00000
3;57;0.00000
3;58;0.00000
3;59;0.00000
4;0;99.80999
4;1;99.71999
4;2;99.70499
4;3;99.62498
4;4;99.63498
4;5;99.50749
4;6;99.52999
